Question,Answer
What motivated you to pursue a career in civil engineering?,"The context does not explicitly state what motivated Ashutosh Sharma to pursue a career in civil engineering. It only provides information about his education and work experience in the field of civil engineering. Ashutosh's background and skills suggest a strong foundation in civil engineering, but the motivation behind his career choice is not mentioned. His education and work experience indicate a commitment to the field, but the driving force is not specified."
Can you describe your experience with Tekla Structures?,I have experience using Tekla Structures for shop editing with AISC standards. I utilized this software during my work as a Site Engineer at Mittal Brothers Engineers and Contractors. My experience with Tekla Structures involved creating detailed shop drawings for structural components. I applied this skill in the N.E.Railway bridge construction projects.
How do you handle project scheduling and client engagements?,"As a focused and committed graduate, I strategize, plan, design, and execute client engagements and project schedules. I utilize my skills to effectively manage projects, ensuring timely completion and client satisfaction. With good presentation and communication skills, I am able to engage with clients and stakeholders, facilitating successful project outcomes. I prioritize planning and execution to meet project deadlines and client expectations."
What were your key responsibilities as a site engineer at Mittal Brothers Engineers and Contractors?,"As a Site Engineer at Mittal Brothers Engineers and Contractors, key responsibilities included supervising and executing tasks such as liner welding, punching, boring, cage lowering, pile cap, and pier construction. This was for N.E.Railway bridge construction projects with a span of 6*13.488m and 48 piles. The role involved contributing to the construction projects and overseeing various site activities."
How do you ensure good presentation and communication skills in your work?,"Ashutosh Sharma ensures good presentation and communication skills in his work as he has experience in creating detailed shop drawings and executing client engagements and project schedules. He has also worked on various projects, including the Jal Jeevan Mission and solar plant construction, where he had to interpret drawings and prepare reports. This experience has helped him develop strong presentation and communication skills. He is a focused and committed graduate with the ability to strategize, plan, and execute projects effectively."
What did you learn from your internship at Uttar Pradesh Jal Nigam?,"The provided context does not explicitly mention what was learned from the internship at Uttar Pradesh Jal Nigam. It only mentions that an internship was completed from June to July 2023 at the 120 MLD STP Campus, Goithaha, Varanasi. The details of the internship experience are not specified."
Can you explain your role in the Jal Jeevan Mission-Drinking Water Project?,"As an Engineer at C.K.Engineers, I contributed to the Jal Jeevan Mission-Drinking Water Project, where I executed construction by interpreting drawings and preparing DPR/DLR and billing. My role involved planning and executing the project, utilizing my skills to ensure its successful completion. I worked on this project from August 2021 to April 2024. I applied my knowledge of civil engineering to deliver the project's objectives."
How do you stay focused and committed to your work?,"Ashutosh Sharma is a focused and committed graduate, as evident from his ability to strategize, plan, design, and execute client engagements and project schedules. He possesses good presentation and communication skills, which enable him to stay focused and committed to his work. His experience in various roles, such as site engineer and engineer, has also helped him develop strong work ethics and dedication. This is reflected in his ability to execute complex projects, including bridge construction and solar plant construction."
What skills did you acquire during your diploma in civil engineering?,"The provided context does not specifically mention the skills acquired during the diploma in civil engineering. It only mentions the percentage scored, which is 70.07%. The skills mentioned are related to work experience and other roles."
How do you apply the AISC standards in your shop editing work?,"I apply AISC standards in my shop editing work using Tekla Structures, ensuring that the detailed shop drawings for structural components, such as beams and columns, comply with the American Institute of Steel Construction standards. This involves adhering to specific guidelines and codes for steel detailing, which I have utilized in my previous roles. My experience with Tekla Structures has enabled me to effectively implement AISC standards in my work."
What was your experience like working on the N.E.Railway bridge construction project?,"I contributed to the N.E.Railway bridge construction projects, which included a span of 6*13.488m and 48 piles. As a Site Engineer at Mittal Brothers Engineers and Contractors, I supervised and executed various tasks such as liner welding, punching, boring, cage lowering, pile cap, and pier construction. This experience was part of my role from August 2024 to December 2024. I worked on the project using Tekla Structures with AISC standards for shop editing."
How do you strategize and plan for client engagements and project schedules?,"As a focused and committed graduate, I strategize and plan for client engagements and project schedules by utilizing my skills in presentation and communication to effectively execute projects. My experience in creating detailed shop drawings and executing construction projects has helped me develop the ability to plan and design client engagements. I also consider factors such as project timelines, resources, and standards to ensure successful project execution. This is reflected in my experience working on various projects, including the N.E.Railway bridge construction and Jal Jeevan Mission-Drinking Water Project."
Can you walk me through your experience with solar plant construction?,I executed solar plant construction for the 30 GW Khavda RE park in Bhuj by interpreting drawings and preparing DPR/DLR and billing. This experience was gained during my tenure as an Engineer at C.K. Engineers from August 2021 to April 2024. I was able to successfully complete the construction project by utilizing my skills in planning and execution. My role involved interpreting drawings and preparing necessary documents for the project.
What were some of the challenges you faced as an engineer at C.K.Engineers?,"As an engineer at C.K.Engineers, some of the challenges likely included interpreting drawings and preparing DPR/DLR for the Jal Jeevan Mission-Drinking Water Project and the 30 GW khavda RE park bhuj solar energy project. Executing solar plant construction and managing billing may have also posed challenges. Additionally, working on diverse projects simultaneously may have required strong time management and organizational skills."
How do you interpret drawings and prepare DPR/DLR for construction projects?,"As an engineer at C.K.Engineers, I executed solar plant construction by interpreting drawings and preparing DPR/DLR, billing, which involved understanding project requirements and creating detailed reports. I utilized my knowledge of construction projects to effectively interpret drawings and prepare necessary documents. This experience helped me develop my skills in project planning and execution. I applied similar skills while working on the Jal Jeevan Mission-Drinking Water Project and the 30 GW khavda RE park bhuj solar energy project."
What do you think are your strengths as a civil engineer?,"As a civil engineer, my strengths include the ability to strategize, plan, design, and execute client engagements and project schedules. I also possess good presentation and communication skills, which are essential for effective collaboration and project delivery. Additionally, my experience in creating detailed shop drawings, supervising construction projects, and executing various engineering tasks has honed my technical skills. My proficiency in using software like Tekla Structures is also a significant strength."
Can you describe your experience working with structural components like beams and columns?,"I have experience creating detailed shop drawings for structural components such as beams, columns, stringer, and handrails using Tekla Structures at Structures Online as a Steel Detailer. I worked on shop editing with AISC standards from Dec 2024 to May 2025. Additionally, my experience as a Site Engineer at Mittal Brothers Engineers and Contractors involved contributing to bridge construction projects, which included working with structural components. I supervised and executed various construction activities, including pile cap and pier construction."
